t,x,y,z,u,v,w
2024/7/1 12:00,-4090.005658,1223.850457,-5295.993876,-2.892218842,-7.053894372,0.613270935
2024/7/1 12:04,-4627.857659,-492.8761914,-4958.550608,-1.562360129,-7.165315309,2.181990563
2024/7/1 12:08,-4830.684476,-2173.881756,-4261.145513,-0.117128528,-6.757737227,3.594714135
2024/7/1 12:12,-4683.161677,-3697.181831,-3253.844021,1.339514813,-5.858754752,4.74858251
2024/7/1 12:16,-4195.282545,-4951.748472,-2009.409742,2.701781506,-4.53166332,5.558467861
2024/7/1 12:20,-3401.896715,-5845.69296,-618.2442684,3.869623886,-2.871850582,5.963543095
2024/7/1 12:24,-2360.394429,-6313.258073,818.125877,4.756517766,-1.000371802,5.932654062
2024/7/1 12:28,-1146.585989,-6319.934793,2194.587056,5.296564557,0.945128343,5.467331767
2024/7/1 12:32,150.9376319,-5865.156261,3410.348361,5.449853613,2.821317633,4.601811347
2024/7/1 12:36,1437.450153,-4982.313138,4376.50421,5.205461754,4.490412115,3.400211081
2024/7/1 12:40,2619.150614,-3736.132103,5022.610301,4.581889712,5.830668153,1.951207559
2024/7/1 12:44,3610.047177,-2217.746371,5301.769841,3.625248519,6.745055441,0.361105891
2024/7/1 12:48,4338.180038,-537.9227275,5193.932708,2.405608561,7.167926612,-1.254060812
2024/7/1 12:52,4750.766474,1181.038162,4707.224217,1.011725697,7.069307156,-2.776903042
2024/7/1 12:56,4817.950027,2814.13644,3877.297447,-0.455209325,6.456830407,-4.096767658
2024/7/1 13:00,4534.952167,4242.698809,2764.748743,-1.888641281,5.375287689,-5.117698397
2024/7/1 13:04,3922.449518,5362.993551,1450.732074,-3.184316973,3.903691549,-5.765424794
2024/7/1 13:08,3025.084487,6093.81676,31.03946385,-4.248014524,2.149616567,-5.993008882
2024/7/1 13:12,1908.191381,6382.439739,-1390.93515,-5.002624366,0.241280572,-5.784463649
2024/7/1 13:16,652.9601099,6208.411954,-2711.820583,-5.393942635,-1.682286547,-5.155916337
2024/7/1 13:20,-649.5647259,5584.896293,-3835.836667,-5.394506285,-3.481762961,-4.154029963
2024/7/1 13:24,-1905.133724,4557.497321,-4681.691204,-5.005136673,-5.02772824,-2.852051273
2024/7/1 13:28,-3023.052784,3200.784588,-5188.312312,-4.254397723,-6.209602492,-1.344180661
2024/7/1 13:32,-3922.589387,1612.853451,-5319.073087,-3.19619047,-6.942965644,0.261270142
2024/7/1 13:36,-4538.614621,-91.6288071,-5064.308097,-1.905923067,-7.174878216,1.849176507
2024/7/1 13:40,-4826.201637,-1789.445387,-4442.041703,-0.475628557,-6.887488755,3.305203804
2024/7/1 13:44,-4763.918672,-3357.494258,-3496.865884,0.992009653,-6.099706354,4.523573901
2024/7/1 13:48,-4355.571696,-4681.599189,-2296.973556,2.39059732,-4.866723157,5.414629282
2024/7/1 13:52,-3630.180736,-5664.895345,-929.4295306,3.61771737,-3.276830605,5.911820937
2024/7/1 13:56,-2640.092867,-6235.115757,506.0640551,4.582654368,-1.44556023,5.977143414
2024/7/1 14:00,-1457.287781,-6350.192691,1904.497635,5.21366696,0.492573362,5.604806261
2024/7/1 14:04,-168.0645519,-6001.566227,3163.457008,5.463991682,2.394742611,4.822071364
2024/7/1 14:08,1133.435126,-5214.818657,4190.825861,5.315410012,4.121090916,3.686889652
2024/7/1 14:12,2352.262907,-4047.666541,4911.629862,4.779411142,5.545410095,2.283175865
2024/7/1 14:16,3399.678131,-2585.526935,5273.487076,3.895819732,6.564424191,0.714056246
2024/7/1 14:20,4199.577941,-935.1251671,5250.304098,2.729428807,7.104826364,-0.905860541
2024/7/1 14:24,4693.943117,783.3204809,4844.056062,1.3652469,7.128121705,-2.458678374
2024/7/1 14:28,4846.979469,2444.814332,4084.562372,-0.09765206,6.633182974,-3.831626785
2024/7/1 14:32,4647.674752,3928.596034,3027.303645,-1.553009701,5.656272456,-4.924902378
2024/7/1 14:36,4110.626005,5126.89665,1749.416227,-2.895005854,4.268763598,-5.658973369
2024/7/1 14:40,3274.991383,5952.807115,344.0789417,-4.026032857,2.572077998,-5.980539267
