t,x,y,z,u,v,w
2023/12/1 12:00,-5314.299579,-11.94234517,-4239.695994,-2.877423169,-6.095159039,3.627949971
2023/12/1 12:04,-5803.68622,-1456.606637,-3225.307094,-1.175526588,-5.870295673,4.773920845
2023/12/1 12:08,-5871.496002,-2795.435052,-1975.987861,0.614322742,-5.218374214,5.573551811
2023/12/1 12:12,-5512.208359,-3930.899096,-582.544719,2.361781142,-4.185818543,5.967397248
2023/12/1 12:16,-4751.512849,-4780.098628,853.42822,3.938751853,-2.847422724,5.92564794
2023/12/1 12:20,-3644.581833,-5280.980296,2227.033194,5.229261637,-1.301025508,5.450821909
2023/12/1 12:24,-2272.040705,-5397.003019,3437.882281,6.138561741,0.339996603,4.577734072
2023/12/1 12:28,-733.9639143,-5119.828298,4397.561844,6.600328533,1.955519102,3.37066801
2023/12/1 12:32,857.5633816,-4469.844793,5036.123593,6.581350249,3.42777375,1.918196226
2023/12/1 12:36,2386.680091,-3494.554657,5307.123949,6.083481315,4.649930447,0.326398826
2023/12/1 12:40,3742.149462,-2265.024021,5190.910079,5.143118721,5.533581679,-1.288910229
2023/12/1 12:44,4825.359394,-870.7137498,4695.972025,3.828442201,6.01472575,-2.810376441
2023/12/1 12:48,5557.420022,586.95266,3858.335091,2.234678666,6.058282374,-4.127258061
2023/12/1 12:52,5884.903868,2001.889469,2739.01467,0.477569829,5.660769307,-5.143295782
2023/12/1 12:56,5783.833195,3271.052291,1419.65917,-1.314688696,4.850915067,-5.783930606
2023/12/1 13:00,5261.557196,4302.011281,-3.389339278,-3.010887884,3.687977443,-6.002091662
2023/12/1 13:04,4356.268993,5019.823645,-1426.204764,-4.486872813,2.257472834,-5.782099804
2023/12/1 13:08,3134.144943,5372.567177,-2745.015345,-5.635107853,0.664460069,-5.140874491
2023/12/1 13:12,1684.345802,5335.071372,-3863.882999,-6.372765113,-0.974638227,-4.126282134
2023/12/1 13:16,112.3434933,4910.58066,-4701.681632,-6.647477269,-2.540942468,-2.813029563
2023/12/1 13:20,-1467.814416,4130.303253,-5197.86056,-6.440483966,-3.921666731,-1.29678177
2023/12/1 13:24,-2941.709744,3050.993318,-5316.642005,-5.767353722,-5.017911589,0.312938051
2023/12/1 13:28,-4202.643891,1750.819859,-5049.442526,-4.676459265,-5.751084528,1.900303661
2023/12/1 13:32,-5159.157023,323.8436179,-4415.460856,-3.245723658,-6.068107103,3.350920817
2023/12/1 13:36,-5741.55164,-1126.59454,-3460.401216,-1.5775946,-5.945223929,4.559587727
2023/12/1 13:40,-5907.006033,-2495.20149,-2253.360719,0.207667068,-5.390122859,5.437766208
2023/12/1 13:44,-5642.88358,-3682.330872,-882.0015963,1.980256646,-4.441989597,5.920303514
2023/12/1 13:48,-4967.915634,-4601.334857,553.7387555,3.610280181,-3.169399353,5.97083698
2023/12/1 13:52,-3930.987453,-5185.076398,1949.008277,4.977980251,-1.665307772,5.585069447
2023/12/1 13:56,-2607.578551,-5390.953375,3201.841807,5.982922262,-0.039901619,4.791194103
2023/12/1 14:00,-1094.169602,-5204.046569,4220.73792,6.551642852,1.587793187,3.647635236
2023/12/1 14:04,498.9304557,-4638.15871,4931.400406,6.64304465,3.098970471,2.238386688
2023/12/1 14:08,2055.722022,-3734.686536,5282.119264,6.250995638,4.383887142,0.666464563
2023/12/1 14:12,3462.946568,-2559.495949,5247.434618,5.404270435,5.349544673,-0.953707044
2023/12/1 14:16,4618.235951,-1198.112423,4829.912972,4.164301131,5.926051186,-2.504382614
2023/12/1 14:20,5437.476643,250.4380519,4059.94835,2.620893569,6.071469174,-3.872775687
2023/12/1 14:24,5860.908618,1680.74897,2993.611476,0.886030396,5.774925615,-4.958955058
2023/12/1 14:28,5857.563875,2988.672696,1708.672685,-0.913766785,5.057802193,-5.683241569
2023/12/1 14:32,5427.646785,4078.963547,298.9407105,-2.646894919,3.97246878,-5.992493037
2023/12/1 14:36,4602.577929,4872.317595,-1132.630516,-4.186459897,2.598609265,-5.864178734
2023/12/1 14:40,3442.68447,5311.259599,-2481.585996,-5.420077346,1.03723125,-5.30842575
2023/12/1 14:44,2032.632793,5364.315759,-3649.736107,-6.258542743,-0.597413871,-4.366876156
2023/12/1 14:48,475.0680235,5028.150614,-4552.322888,-6.642072101,-2.186575124,-3.109033487
2023/12/1 14:52,-1116.946433,4327.599811,-5124.072422,-6.54406287,-3.61564542,-1.626704638
2023/12/1 14:56,-2628.096231,3313.698578,-5323.739575,-5.972355695,-4.782137889,-0.027122138
2023/12/1 15:00,-3948.999626,2059.927699,-5136.923115,-4.968203249,-5.602517356,1.574550333
2023/12/1 15:04,-4983.90847,656.991579,-4577.03562,-3.603352325,-6.017587129,3.062975814
2023/12/1 15:08,-5657.511327,-793.5499421,-3684.415497,-1.975441657,-5.996648859,4.330399725
2023/12/1 15:12,-5920.417848,-2186.461991,-2523.592418,-0.201639662,-5.540050886,5.284203908
2023/12/1 15:16,-5752.920132,-3420.401411,-1178.806706,1.589313508,-4.679799854,5.853833095
2023/12/1 15:20,-5166.672758,-4405.359971,252.0116714,3.266460276,-3.477833478,5.996571242
2023/12/1 15:24,-4204.031031,-5069.377777,1664.40723,4.706540676,-2.021729948,5.701168073
2023/12/1 15:28,-2935.036486,-5363.974741,2955.161079,5.803697163,-0.418282906,4.989159206
2023/12/1 15:32,-1452.187771,-5267.755036,4029.996468,6.47776458,1.215082662,3.912957334
2023/12/1 15:36,136.4400191,-4787.898119,4810.513008,6.679864084,2.759145194,2.551599881
2023/12/1 15:40,1715.151332,-3959.530699,5239.884956,6.395708233,4.101646139,1.004691659
2023/12/1 15:44,3169.072214,-2843.071358,5286.924109,5.64632586,5.145334066,-0.615063123
2023/12/1 15:48,4392.444438,-1519.789177,4948.249119,4.486147083,5.814688323,-2.189987967
2023/12/1 15:52,5296.214743,-85.94068047,4248.50931,2.999167384,6.061067218,-3.605545196
2023/12/1 15:56,5814.484624,1354.145316,3238.651531,1.293234419,5.866296644,-4.758431694
2023/12/1 16:00,5909.372843,2695.617366,1992.306709,-0.507381643,5.244284759,-5.564117769
2023/12/1 16:04,5573.909044,3840.779173,600.463298,-2.270993652,4.240441489,-5.963461153
2023/12/1 16:08,4832.614096,4706.316213,-835.2320086,-3.868537556,2.928445939,-5.927357004
2023/12/1 16:12,3739.691779,5229.45094,-2210.002566,-5.183294697,1.404685477,-5.459014653
2023/12/1 16:16,2374.959361,5372.539703,-3423.720983,-6.11992127,-0.219174666,-4.593662528
2023/12/1 16:20,837.8302085,5125.702036,-4388.261904,-6.611388898,-1.82492621,-3.39537075
2023/12/1 16:24,-760.0519389,4507.328444,-5033.830757,-6.623316957,-3.29660696,-1.951794211
2023/12/1 16:28,-2302.909844,3562.554705,-5313.842001,-6.155734198,-4.528574593,-0.36751989
2023/12/1 16:32,-3679.07469,2359.910383,-5208.110121,-5.242583944,-5.432603071,1.243318116
2023/12/1 16:36,-4788.855482,986.4148528,-4724.215177,-3.949162629,-5.943680905,2.764780629
2023/12/1 16:40,-5551.588877,-458.5411296,-3896.999691,-2.367904982,-6.024344159,4.086896748
2023/12/1 16:44,-5911.476195,-1870.198198,-2786.218641,-0.612433256,-5.667668277,5.113284587
2023/12/1 16:48,-5841.778397,-3145.926692,-1472.407852,1.190114322,-4.898328202,5.76825835
2023/12/1 16:52,-5346.999935,-4192.722346,-51.16976992,2.908114758,-3.771474948,6.002837352
2023/12/1 16:56,-4462.776885,-4934.134793,1373.793873,4.415459631,-2.36906826,5.799009438
2023/12/1 17:00,-3253.362017,-5316.00883,2698.363145,5.60132605,-0.793768433,5.171354397
2023/12/1 17:04,-1806.893869,-5310.540341,3825.759484,6.378798922,0.838942555,4.166072959
2023/12/1 17:08,-228.8163341,-4918.282888,4673.725362,6.691443408,2.409747655,2.857111031
2023/12/1 17:12,1365.934995,-4167.987601,5180.501204,6.516968642,3.8044177,1.340248172
2023/12/1 17:16,2861.304791,-3114.395457,5309.238128,5.868347018,4.921852217,-0.27396424
2023/12/1 17:20,4148.50212,-1834.219751,5050.605592,4.792763398,5.681137505,-1.868140283
2023/12/1 17:24,5133.836833,-420.5889557,4423.429578,3.368105017,6.027173485,-3.326395716
2023/12/1 17:28,5745.479154,1023.645256,3473.36496,1.697647739,5.934549278,-4.542369321
2023/12/1 17:32,5938.74669,2393.327833,2269.662832,-0.096997638,5.409666767,-5.427014708
2023/12/1 17:36,5699.478069,3588.685807,900.1832943,-1.884672632,4.490769956,-5.915324948
2023/12/1 17:40,5045.164282,4522.70624,-535.0437569,-3.534442646,3.245296266,-5.971596211
2023/12/1 17:44,4023.677123,5127.581537,-1931.246221,-4.925724172,1.764815111,-5.592242643
2023/12/1 17:48,2709.653556,5359.68089,-3186.680519,-5.957452482,0.157914853,-4.805895424
2023/12/1 17:52,1198.879633,5202.642712,-4210.120749,-6.555512073,-1.458219862,-3.670942926
2023/12/1 17:56,-398.8370946,4668.37496,-4927.456054,-6.677785688,-2.966648666,-2.270642323
2023/12/1 18:00,-1967.679306,3795.980651,-5286.902832,-6.316481004,-4.258995542,-0.706635449
2023/12/1 18:04,-3394.090876,2648.80454,-5262.556047,-5.498044803,-5.242733875,0.908318791
2023/12/1 18:08,-4574.784704,1309.879424,-4856.140178,-4.281105447,-5.847225426,2.458035202
2023/12/1 18:12,-5424.032657,-123.9224874,-4096.900271,-2.75257121,-6.028456644,3.830640073
2023/12/1 18:16,-5879.822166,-1548.706564,-3039.643071,-1.022100159,-5.772331667,4.926266331
2023/12/1 18:20,-5908.477254,-2860.959362,-1760.964425,0.785190685,-5.096216552,5.664351949
2023/12/1 18:24,-5507.330731,-3965.073891,-353.8382803,2.53758436,-4.048330322,5.989900741
2023/12/1 18:28,-4705.147275,-4780.438731,1079.113962,4.106541447,-2.704705722,5.878123288
2023/12/1 18:32,-3560.151755,-5247.498286,2433.210739,5.376735909,-1.163640908,5.336793197
2023/12/1 18:36,-2155.744763,-5332.207432,3609.511448,6.255022998,0.461958485,4.405640397
2023/12/1 18:40,-594.3057503,-5028.517327,4522.150711,6.677385662,2.053176681,3.1531739
2023/12/1 18:44,1010.408191,-4358.735257,5104.631292,6.613536522,3.494124978,1.671207172
2023/12/1 18:48,2541.607345,-3371.763365,5314.593929,6.068539982,4.680370909,0.067816864
2023/12/1 18:52,3887.899326,-2139.470547,5136.791866,5.082016374,5.52602281,-1.54045284
2023/12/1 18:56,4951.297929,-751.5094212,4584.164003,3.725428623,5.969687112,-3.036650687
2023/12/1 19:00,5654.309553,691.140892,3696.929569,2.097079141,5.97892831,-4.311745018
2023/12/1 19:04,5945.596799,2083.455717,2539.740311,0.315383033,5.552737017,-5.272423505
2023/12/1 19:08,5803.829633,3324.013622,1197.041671,-1.489539665,4.722039783,-5.848113071
2023/12/1 19:12,5239.356976,4322.476776,-233.0918817,-3.185490853,3.547724862,-5.996595231
2023/12/1 19:16,4293.487879,5006.293133,-1646.225691,-4.648370592,2.116175116,-5.707437884
