t,x,y,z,u,v,w
2024/5/1 12:00,1270.686512,-4066.0359,5278.966691,7.501393505,1.419284133,-0.712740899
2024/5/1 12:04,3002.771052,-3581.347652,4917.024307,6.844259522,2.595141183,-2.285035955
2024/5/1 12:08,4515.871608,-2835.503117,4195.495197,5.687603944,3.582260138,-3.690903191
2024/5/1 12:12,5699.490485,-1882.788103,3167.000194,4.115355543,4.308447582,-4.827311097
2024/5/1 12:16,6467.118432,-792.6530866,1906.700668,2.242320422,4.720352375,-5.610656569
2024/5/1 12:20,6762.704415,355.3478229,506.8274402,0.205950509,4.787706446,-5.983254099
2024/5/1 12:24,6564.885578,1477.43928,-930.145402,-1.844005563,4.505851281,-5.918006031
2024/5/1 12:28,5888.561973,2491.86374,-2299.153762,-3.757086772,3.896149226,-5.420565294
2024/5/1 12:32,4783.645098,3324.949366,-3500.380576,-5.393871906,3.004106977,-4.528633197
2024/5/1 12:36,3331.134279,3916.469597,-4446.582063,-6.63627062,1.895500935,-3.308533611
2024/5/1 12:40,1636.962143,4223.906924,-5069.338032,-7.395760907,0.651157433,-1.849746431
2024/5/1 12:44,-175.8221421,4225.343332,-5323.804426,-7.618920261,-0.63911644,-0.258054438
2024/5/1 12:48,-1975.881736,3920.872541,-5191.739803,-7.290412939,-1.882735421,1.35190364
2024/5/1 12:52,-3632.865748,3332.52136,-4682.709072,-6.433725927,-2.990524387,2.864349057
2024/5/1 12:56,-5026.592549,2502.715577,-3833.426952,-5.109702148,-3.882629154,4.170084515
2024/5/1 13:00,-6055.624187,1491.361011,-2705.264859,-3.412869497,-4.494126612,5.174071486
2024/5/1 13:04,-6644.658439,371.6622579,-1380.00234,-1.46529963,-4.779815135,5.802340796
2024/5/1 13:08,-6750.198851,-775.0693317,45.94956897,0.591575521,-4.717858182,6.007788388
2024/5/1 13:12,-6364.005815,-1865.329685,1468.533431,2.60723477,-4.312012474,5.774311238
2024/5/1 13:16,-5513.900229,-2819.606646,2783.750695,4.433684707,-3.591592901,5.118531597
2024/5/1 13:20,-4261.758567,-3568.28997,3895.410589,5.936932834,-2.609264213,4.088455931
2024/5/1 13:24,-2698.902847,-4056.813385,4722.254676,7.007127478,-1.436891642,2.759669807
2024/5/1 13:28,-939.3102078,-4249.614815,5203.892696,7.566412213,-0.15997714,1.229376007
2024/5/1 13:32,888.7441697,-4132.666951,5305.149132,7.57415543,1.128601052,-0.390776405
2024/5/1 13:36,2652.001077,-3714.462671,5018.58275,7.029695439,2.335174459,-1.982715945
2024/5/1 13:40,4221.860213,-3025.400147,4365.01696,5.972272638,3.371936768,-3.430341724
2024/5/1 13:44,5483.701959,-2115.626452,3392.094903,4.478552606,4.163127754,-4.627624425
2024/5/1 13:48,6345.31027,-1051.450215,2170.892446,2.657473812,4.650674638,-5.48654998
2024/5/1 13:52,6743.745337,89.47069571,790.7621279,0.642584691,4.798736971,-5.943841796
2024/5/1 13:56,6650.090228,1223.86411,-647.25752,-1.417950114,4.59668614,-5.966058643
2024/5/1 14:00,6071.608923,2269.04087,-2037.984119,-3.372780493,4.05997876,-5.552338267
2024/5/1 14:04,5051.080975,3149.039189,-3279.948023,-5.079195302,3.22880144,-4.734212834
2024/5/1 14:08,3663.412107,3800.180729,-4282.872186,-6.413839594,2.164606399,-3.572726562
2024/5/1 14:12,2009.8998,4175.598664,-4974.171246,-7.281358585,0.945117653,-2.153266984
2024/5/1 14:16,210.7283276,4248.458237,-5304.02763,-7.620541893,-0.341469547,-0.578990177
2024/5/1 14:20,-1603.709725,4013.72148,-5248.771138,-7.40789401,-1.602769971,1.036637662
2024/5/1 14:24,-3302.036268,3488.404903,-4812.438629,-6.658711399,-2.748382091,2.577468045
2024/5/1 14:28,-4761.128736,2710.385917,-4026.494135,-5.426160374,-3.695852931,3.932379518
2024/5/1 14:32,-5874.871682,1735.802902,-2947.700281,-3.79807519,-4.376359337,5.002905379
2024/5/1 14:36,-6561.866824,635.1604412,-1654.215224,-1.891477558,-4.739792626,5.710358645
2024/5/1 14:40,-6771.523849,-511.6737366,-240.0744688,0.155450853,-4.758769563,6.001995005
2024/5/1 14:44,-6487.986106,-1621.241092,1191.58796,2.19317776,-4.43102131,5.855310044
2024/5/1 14:48,-5731.532716,-2612.640676,2536.132661,4.072118734,-3.780038426,5.28042534
2024/5/1 14:52,-4557.162928,-3413.546019,3695.220787,5.654383893,-2.853318732,4.319353278
2024/5/1 14:56,-3050.50836,-3965.557383,4584.10469,6.824178981,-1.718656022,3.042591645
2024/5/1 15:00,-1321.469516,-4228.471769,5137.849446,7.496289504,-0.458922924,1.543668934
2024/5/1 15:04,503.8892139,-4183.164644,5316.02338,7.621959566,0.834185162,-0.06801553
2024/5/1 15:08,2292.509014,-3832.919658,5105.575958,7.19195565,2.066721197,-1.675027778
2024/5/1 15:12,3913.949571,-3203.189219,4521.785831,6.23725298,3.148987535,-3.160134932
2024/5/1 15:16,5249.855682,-2339.788795,3607.197451,4.826998038,4.002010153,-4.41471317
2024/5/1 15:20,6202.611776,-1305.626409,2428.602157,3.063919058,4.563223355,-5.346598814
2024/5/1 15:24,6702.598355,-176.1542849,1072.216056,1.077182329,4.791361314,-5.887135104
2024/5/1 15:28,6713.438442,966.1843412,-362.6556164,-0.987124209,4.669843799,-5.996670625
2024/5/1 15:32,6234.72535,2038.088623,-1771.028135,-2.977309985,4.208146783,-5.667831817
2024/5/1 15:36,5301.94682,2961.591946,-3050.082897,-4.747860831,3.440909912,-4.925868317
2024/5/1 15:40,3983.66334,3669.786199,-4106.772311,-6.170423044,2.425021178,-3.826351005
2024/5/1 15:44,2376.219589,4111.635476,-4864.562485,-7.143155836,1.234939829,-2.450358556
2024/5/1 15:48,596.5350357,4255.501422,-5268.805452,-7.597299729,-0.043148385,-0.898028491
2024/5/1 15:52,-1226.356667,4091.234698,-5290.460467,-7.501154842,-1.317374413,0.71860828
2024/5/1 15:56,-2960.465394,3630.794231,-4928.037448,-6.861864415,-2.496413853,2.283312125
2024/5/1 16:00,-4480.131453,2907.38195,-4207.670393,-5.724765947,-3.495540275,3.683390001
2024/5/1 16:04,-5674.918103,1973.169302,-3181.355981,-4.170761044,-4.242329081,4.817264567
2024/5/1 16:08,-6457.599249,895.696495,-1923.398541,-2.311319901,-4.681944896,5.601778369
2024/5/1 16:12,-6770.653183,-246.8895201,-525.199724,-0.281099689,-4.781466041,5.978579248
2024/5/1 16:16,-6590.708067,-1371.485491,911.3267264,1.77178168,-4.532827034,5.919051965
2024/5/1 16:20,-5930.446754,-2396.133585,2281.239012,3.696858817,-3.953610334,5.426787785
2024/5/1 16:24,-4837.802351,-3246.088982,3484.352685,5.352780058,-3.085994326,4.537612135
2024/5/1 16:28,-3392.421777,-3859.376364,4432.693635,6.61830739,-1.993485452,3.316755742
2024/5/1 16:32,-1699.724345,-4191.323414,5056.968416,7.401158402,-0.755844639,1.853650708
